job_type,job_name,company_name,posted,link
Full-time,Data Analyst - Honkai Star Rail,HoYoverse,4 days ago,https://www.linkedin.com/jobs/view/3693536674/?eBP=CwEAAAGLih9tNQK3P9bDjcAWBu8_udf98JztOzfre31H3OEUS9r4qOy57s4srcPGjrftvP9osHRD5j0QPhgX1-D2jJtoauLJaYOgFbsz9ntnFAS30zEtQS5O8ytKLyxQagKp3hhhZ36IvwjMW52rPvlVo_pfV4R7Beg6xpkmhzpuwSn6Y8w49ADhWE-dGKLgwL5wA_RP4QQpmt0NU0miqrheSd1qmnADtqdr_OMUs2BXjFW0Pat8KFQKMhT05JbhNoaannnwBr_4MCxqOnQuFdp3sojcqF4aA5djy1yy-jW6ypKwHT0eOsubHxCePj_uSyNnk24t016wgRK_RLQ823U6cqJ7R3iuEwmd7xJekRtA8yiaSSzytejGoWvwWAWJeZfFt7V_MmlX&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=IXXMqY4FBcLYMvHN%2Ftxz%2BA%3D%3D&trk=flagship3_search_srp_jobs
Internship,"Fraud Data Analyst Intern - Trust and Safety, Regional Operations (Spring 2024)",Shopee,1 week ago,https://www.linkedin.com/jobs/view/3611210025/?eBP=CwEAAAGLih9tNc9Y6mrSQ7JTTSzeiaKgzBW9piFGG-aLj3F8YKj9if5K39_3zkE6rxVGn7MyBy6dX29ufeHVfe_c0H1OYMvhmDdyUkh2Pcb6BAvumPHbJBwxx41DOdxjwA3qIwOXTNL3H3XUoTU5qYbA3ARemSfY84Wnqn9ixZ0JYpnlvRIWN08EaviLqmQG8rvXTZb-P9K8-yNNvSIf4yom8qp2A6mxYMqKMTDeGRR3KGdKAC8_toWA2G4VvX11sD_kOFGejylMiK_4M9CL9nkmEu6MI_TsLWrcDbj1UZO6Co7c8VzjZc_iTQ4_N2RUOX1wQwwaRQdzlr1TVd2FcvUm9P7tILVhJ8gB2puCkwEo-Q79trmNG2EI5pm5cTfuurrRKoB7BvKt&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=QMP0plSCupPVu0FJeYChGA%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Senior Data Analyst,Stealth Mode,Not avaliable,https://www.linkedin.com/jobs/view/3737247458/?eBP=CwEAAAGLih9tNk3WqKnjqYfcTPxOXygGdEUCeEaX6SPhZnlay91mFJ3T11pVWsCUMgKfByw-nVgHBANHzm2BHn6aMIAZH3iYp2EseXTHDdTvJn0un9NkkW5maJ-T7auxMASHCvrGuOo7-l4p692pC8FnHPgASuBkFcKtvE_XeF-qXutRiROqg7fT1NkCZAkhoPg5bq3yeokLhUyifcPO0tdBNPPrqrMBh6ga-Soo1-Veypz64TEw66-YeeMnoUyJF32BRPF5aF1jlhhEj8g3mE_sai9P5pvNTLXOvX8FpzdbiheEjz3fHuhleNC9RGKlbEst-ohQaRLDpJtaEIHpdWce6VdnJ9zIzXNL-ab09SWKKZrffURtRY1_bUAOWMasR_hBJQhuVtf3X18&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=9Nv0CycJtlFldNUig6uHmw%3D%3D&trk=flagship3_search_srp_jobs
Mid-Senior level,Data Analyst - Space Systems and Analytics,ByteDance,1 week ago,https://www.linkedin.com/jobs/view/3659055871/?eBP=CwEAAAGLih9tNj9O6RwIyt98mZ_bnHo0mpQLOLSL1f3HWZKjC7ifECXqYegcxz1MHsQyqBpBAIRqLQvCNsrfJmD7JaTpSgHGck1Stml0ZJcFnSjvizCCOOxE0r7sruQ4KgDi6Sxu9rqHS9GJ8CJiRRpn_5wcrajffz01HV7FoOpIXYrjfsco5SPioH5dqvHFOrfsUC6QfA6I3KsHwoxp72wQGa_x5I5jhSLHcoHgkMMYC22YeSbTh4PE-Jms7uyxL4ysrN5BJfcDcgakVoFdZGI_RVI-iQXar98yCl-hzXmOeeqg8yKNrQNjTRSGhbBHOTLW3E6Mkry2x-YYCb12i6CmpJrVMK3FJg2vkOuxbATtG_dMnP8w21AyQmXdDeqfOW0qPAoRbbXdN64&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=%2FmyPd8qSNdnF6%2BdgquOBKw%3D%3D&trk=flagship3_search_srp_jobs
Internship,Data Analyst & BI Intern,Munich Re,Not avaliable,https://www.linkedin.com/jobs/view/3742394154/?eBP=JOB_SEARCH_ORGANIC&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=Dk4LS0GfAIDjjyz1ekvfgg%3D%3D&trk=flagship3_search_srp_jobs
Not avaliable,Data Defense Operations Analyst - DP (Singapore),TikTok,2 weeks ago,https://www.linkedin.com/jobs/view/3651831204/?eBP=CwEAAAGLih9tNqZFLHZEMdRZgJXthWM_VYs8MvRGjNnB8sQlYatQkcM3BgnoCnXy3LiHxVeUhazCQuXBpnhXfwPxZVwLefcgNu97lApPloqzOUM0SJpjRUAKAOzLsdObtK1cvfONKssrwq4hw5qDUGU-7fH3kwBEEFg1VWD9x6gh0getvv-oxRUYshva8UiiSCQb409DqH4dT1PKFvpa3rZLL72FgPvPG2uLLV7SDZhOoe22dfuGvxWPUJCgr1NYpkTkKmBtN_HzGfP1VfjlIDwzKX-6SHnbjTUzMg4AJQiPzlLGgBg1ihtQs17V4TNYmw5a4M-x-jHLmEkc9jfnuAUu8fgSUsadSg25VBjPMQOWtntDhkmqJdg5sS0H200VTqJ_EAPXfYfDQLg&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=7DxvZ6Gf1CzeE9WPFTUKOw%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Risk Data Analyst - SeaMoney Credit,SeaMoney,1 week ago,https://www.linkedin.com/jobs/view/3611209108/?eBP=CwEAAAGLih9tNqCtv0VY95yYRoe-RDCbxqBYhPsiOwOfQM6rFP3ZG3j3vsab0nIs7KktC8Yh3UvQfVcn1oWoVbcTG62KRbMfkDSPs-yQWXXAg_65DRXRfuUHKw4jI31hsOejt8qdu8h6xDsbh6CyiJNaWPh-7ieIBC3dgk4SV0e8O25a-jHDZOv1Onvl1OTOTw3cUH0k5rdCGb2PeWSgO9MzYNYcjZ9LDDkf0pBia2hl6SOXOVe_-IEozbtEKlSAT6hh1Csu_2DCgputaQCTpEfBS1UkmWmId2vFJd5d2j7t3BgTRvkkpKItvuHVBEkMnNoKQ4Z8eAfP2avjmAuxtAbQIrRd4jzgOfy_W-LXRnXnmU5hiUg7kc1oqePHJO4jdYBPF62aBOPO--U&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=xKwAHrKZJrMYql26qyh08Q%3D%3D&trk=flagship3_search_srp_jobs
Contract,Data Analyst (Measurement & Insights),Ad Astra Consultants ,Not avaliable,https://www.linkedin.com/jobs/view/3747122470/?eBP=CwEAAAGLih9tNrxae4mImkpkfg_WZon_zkIOlNBWhKh3LsdmnEtcEieF5jfxaNGZaqSXz28RzBK4jNsS1ZWwPvLGQNxyZn5Ds9Yl79sL_9Yhz5QegbJACz4LbR8c-bcb93YPV-5Zfnlh_ynQihPnDpZ15HO3iidzmRgZSc3wrbZxFg4p_b_BNi0qkJUiq4iYV7e8LrqMCO43UdW2sL86QV6GIrmKUIKdws9pKMFLSWjNibFmsRFO8UMEWxTRwaoSiHBpqHRQ_BxNkfn1l2sJfXSim4O1y2sbpQ_g0rWNmScQ0yo8sBIyPuNwnyMvdYH3QyQ4eWyOoazpimCJ3KUKi9gE-8fRXE8eq4ibHaIFIRYfl86sGDdja9I8Z65MZRaZH7u8_CWbkQ&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=2iSqfQ3DJyudyQ%2FVE1rFVA%3D%3D&trk=flagship3_search_srp_jobs
Full-time,"Data Analyst, Advanced Operations Solutions",AIA Singapore,3 days ago,https://www.linkedin.com/jobs/view/3703550531/?eBP=CwEAAAGLih9tNgnsLl3zT7Soke9yvSJPaPluE4WTymdzvkK5D4j-QAPOdO2WkK4Xog_IeRkvdawIRtbSYYmtYeiMRDnZK863_jCJpSSls64aQBodtN-equxB-VI-mOWWk8GaeEj1WPHvLvZ8XcQFdi3k2KZa0AXXnIhuj8acF1tsuWRbax3aA6hlEJk5PUEFKs43ma9tbti6llWPDYJ9skle74rQp7Kc0Pm3gGZGMZpDZ77Dh75WnnYW2LBGnWqGaDTsFzEZ5Q_Naq_uJf14IDW_jEC0sPLwFbZKcykVi46rMyyl2_GER9YRGMTwaH17OTUDW23lP1dtuoaRJmarcT0WgEPGvd2PE2JlYGiI1JYjJs5OGDWBKVtAjDi8WPmEgnxqjZotliUz&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=FX7HnQiAzBLfIFFo8pzGTg%3D%3D&trk=flagship3_search_srp_jobs
Mid-Senior level,"Data Analyst/ Senior Data Analyst (Bangkok Based, Relocation Support Provided)",Agoda,Not avaliable,https://www.linkedin.com/jobs/view/3748495109/?eBP=CwEAAAGLih9tNvFtE64se63UNiKIedkkuVTPZ5sgkN_bDxznV4JjdNd_8cIQ6EpdWZdkpLE5prKB2_lIYdRhACDrKjVTGBzthEnF5eRJipUn8yFmuAZYreSrgPYLaC3nfUDzouSqcYdP610nh5cNjVscg2SW0zJtJyooUf5Oa7ghNMhlaxReXHgT5feCZFhGPLobofKbRxJQOU43BkHKP0A9e-JZzKbNPIi7eXHAcXE719lfIAjXB4sfcOY_qMTJanTnQh-GyRts_vmHporWcwRnItYwyTmN39ijnWP1tOzNxSOX748UFfhrggP_-6LL-KcfotflcYEuMqDcawF_MwGuW72WzZiRUv0yIppeTl0xfHl0X6F1LRlp7diNGSTrpjLIF3QjJw&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=HeK931%2BkVV7c3eItfLIU5w%3D%3D&trk=flagship3_search_srp_jobs
Not avaliable,Not avaliable,Agoda,Not avaliable,https://www.linkedin.com/jobs/view/3751418015/?eBP=JOB_SEARCH_ORGANIC&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=%2BmDtua2IykI7bRqEcgTNoA%3D%3D&trk=flagship3_search_srp_jobs
Full-time,"Data Analyst, Trilogy (Remote) - $100,000/year USD",Crossover ,Not avaliable,https://www.linkedin.com/jobs/view/3731255272/?eBP=CwEAAAGLih9tNn5uITBCVZsjJp6w4L2arJojp9e0jyEpptYqEIZ_Ctv8jV1an9sgIe06MUlI9biwYAuSZ8_Uljcn1SVhqL4PJrIN63yUXhkYpwPdiGPLW39tWQRQTIa2noQiy97YMNMVHn72r5X5io2bRcL2Cd14lb3cVpM5yfLCqha9P3p_8qsBHlcsnE30Xyf75Zzl7xyZBO6p5hGOvA8TjRx4eqzi9C6mG1y3XUvUqEL0RRVjWI4ADagelMpqeVCK4KLWhLiuYXjWL8tq5XhVZuZE5rDSHfWxM7-aSseecGqncmA1kEge5fSlAVxda9PGPEikiXPtfEbxt38ZDVmfnt0VCgJ06CMRyw7kSnMxPuJ5SDsPdyDmMjRvxwSygMsWc-1OhyXBTnU&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=n7lKgqEMkrwH09vF2t2xKQ%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Maritime Data Analyst,Lloyd's List Intelligence,Not avaliable,https://www.linkedin.com/jobs/view/3728410111/?eBP=CwEAAAGLih9tNn4_lg-iaZ7EXRa4aIedB0aoTee60JmQPB57eiu2W3nG0kz0BwklYDk91oewqrVxJGykoYK6ELdZfv3uWLw-bCeBY7OpY58II4BVIdc0CW7n7nh4-Gv2uKAw6r-MnQPD92f32jsxrAcDbo2REDy1nCE5UlPW_0OsLXUPPyQhSBBSzKJlZsYrDgLarnpFMkzs0fxe2xRYleRZ8saG8FVlgTsf0VC5mNj9untVq2m0H1eSvJbqCRVwnKSFoE1NjEzpQSE0Cgc438HQOdC_jUSNqjnRMeIf9RSMOGqLnRYGAwa4e7kqgvdoGiR38SeGxoxhDFsB61ldgIeX_VFQGqCqC90gFHIvYms-PVdCxZVBYImDk5ALDhSMTGFUne-x1Eg38QQ&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=Iaabz%2BALQ3ysHJnRuG4q0g%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Statistician,Singapore Department of Statistics (DOS),Not avaliable,https://www.linkedin.com/jobs/view/3733467264/?eBP=CwEAAAGLih9tNngoZxPMnYHLtTLT1NjKsYxDZzRbiUFGA9v5J0oRzKms57VWZHxevQZNTuFIly-iiSKY-saMd_q7SANucBozoGHlmoyzQpcrF-jvmTQLJg3O7JeZz0WOI8L2lSF-_T6ZkdWZ82m7o08HqRkZ9KzlL1OncRF2dTZtwC5df417q2rU8ACRX9k5kXbkHrrKU2r8aKWbdaU8rngMVs58ISAfPhmPCYB-OMlh1msYlIXclXvTNCHWAAMu_pKDfxZ7k9ZZcAtMQzR22tTtFolyjDrhKsqD-125zPWBcSQtqYHuPZGo-z_jG3frcq8RbuTe9TWlNpbsEc8DyRgRHIaw012wSyEgPI04DvxrWRkjr0NChYBzCr0GFx-Q685VqZ6S8FkZAHc&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=XXYO9grne6QI1W3sEemSeg%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Data Analyst (PM_FS_DataMgmt_DataGov_MetaData),Maltem Asia-Pacific,Not avaliable,https://www.linkedin.com/jobs/view/3623883362/?eBP=CwEAAAGLih9tNlMDDJGo8E9WgurrXGk_be-mksAqQZmK-7sK2Wu0LK7xMhLrc-MDYZz9y8XpH1mTd37Sr478gpbUUW543XQFCwEArJnp_xlkgmUcdQY0YhXMA5xOU3QWnuoOISGB7pb4nAGBl2ahqqMM4XyeVWzgp7RZ_hSH5E160spUsl6SGd_eo7NMnWHNCgFwWBvxnlIMrJsZByGGK-yVKKRShkHx2MmHslU1jUwf00v-ep5pLMqn0WSS_dbl_hBsVP56uV8kxj1nyxCjhYE7o34AiEhav-WkQJKvqsC0V3D5h4o5gEU5OAENT5YwEP8E9WcxUZrD720QliEUgY2O4PbRvx24UzReGwnwcALMRVDTumTY6ho4IF_ZuyRhgbE14C_cm2qPzk8&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=9XAN00VUdSV1XIfD%2FPQ4Qw%3D%3D&trk=flagship3_search_srp_jobs
Full-time,"Senior Executive, Data Analyst (Insights) (Stellar Ace)",Stellar Ace,1 week ago,https://www.linkedin.com/jobs/view/3698455146/?eBP=CwEAAAGLih9tNj_Y8FBocuberFNmRTx5P4HCL97uHep_ETeoiA-SRWqUdwsbMTbaM6oJc608UBea20Yz78Q8ZaJnkmcTMO7eHVSv8DbRq2F94_7szsexP3Qct_mb9yMulCZO-so0ye1ORUeUOhsgmhfaB_CNqip31V1AgZegyEiyZ2DYDIgxxsG7CQXodEM7J-R9tvujAqe2hlC1V3lVmCaCroyPLWdExC6WWAbMKH434KIhwZnBhFDpvYbV9ewVbEAyZ23KmAxjJGeCD52uMX2aJlYLJyqYCTI30-yOiEci5Vpm5yE1tedV8mc6LT2xa0-_-GRmM6My1QtoK2gtSvyWy_0UNX3GkIm8IQGFxNr4qiUj6iBbtclL0pfZHebwKOP5CdzE88k8&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=SehPQnP1aS%2BkqxqkusC9xw%3D%3D&trk=flagship3_search_srp_jobs
Full-time,"Assistant Manager, Data Analyst",SATS Ltd.,1 week ago,https://www.linkedin.com/jobs/view/3733690270/?eBP=JOB_SEARCH_ORGANIC&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=E7zEGbRWWreC8VNBpJQEJg%3D%3D&trk=flagship3_search_srp_jobs
Internship,Data and Visualization Analyst (Power BI) intern,Randstad Singapore,Not avaliable,https://www.linkedin.com/jobs/view/3656515511/?eBP=CwEAAAGLih9tNjcILqCG22k2pglW_YQ2HV2quJiSO7qL9y9Rbjr3yLIcwskaO7UKSM4pKxE1d1wXl4QHHZC6qdCsJ0qDTcCM5p2-MztI7g6kRJ522KniHEddyRopyWPwcCVZOy10_rM-48b9J-VM1B3rwhMo-Le_WpsEd5kWCvWZ3t6xzAeXHBywEUpa5UR_wuHxuR2ucd1tOTIMBT6fxfKmLbJk-4ZVFWZz44LMBTbmYw4MBn9dEcTFeoxpwMdFCYSbJBrZ95IxoZip_-NmAoKTwPn_By4aRljXnHMZe-2WynHjnagX5SUfz2Qntj3wzQe6QkxAU5Gq41eh6PmoqeV1bQn7mWP8Hliqk6iIBtgIIIxvsiQxvHOjgAFHoT-DcWuw7z5OjMW0&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=4cIiEEJp4LcKcILUTm%2F82g%3D%3D&trk=flagship3_search_srp_jobs
Mid-Senior level,"Risk Data Analyst (Lark), Product Security",Lark,1 week ago,https://www.linkedin.com/jobs/view/3731038493/?eBP=CwEAAAGLih9tNm5Qc5hTQ-3cTbiJINWbiMcUq6xtLLXjvIqXj1yHk31NCbg8nqZf9Hqruv5c5A_PP57A2jUDItEIeAwySGtM89_nYCV5D4HCRujzSdcOb8qfBB3pltiY5J7hEdCESrRtHruGzBvh5vcVbTRqMRjd2qSzogO0jMUrtN3-fCsll3Hxwy99WVI8lINPXJuH5dLfshIoGSnaUed-QXnFnk2dmauxlrADK7ayLpT0Fc2zfO4o5tI4awF0YVQh09tj9m72Qnn_w9e8TVoNdaAgj9gxJ-Te5wUUO_aiR7oFbAxpXRCo2Ua3ql8bT3WNzSNqcju1aT8yrmorKopI5BubEIGR9jKGzYa2FxPpZZrIvKeoMepo6i6MUNXh_Z9O6PNfb-od&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=mnn3LDeW6qVKzEJqYEjh8A%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Data Analyst(P9837),Xiaomi Technology,Not avaliable,https://www.linkedin.com/jobs/view/3733401928/?eBP=CwEAAAGLih9tNqWL_KVJhYWtoD3ZbQALGjarhgh7C7l6GpRsE2jQvnBwSfz2lGQ31uCymB5FHZo-0a8GOqCWMYi2E8qmU3NI4lGFNXHQSq5RAiZRQj9n1p8hK-Q9EQTJObblOxuVKhrbjAhexhwulylh8cKHUqrDSqOJd51M6UbqDz8zpQkzPExzNAcgCctW_pxdxvXpxZL5hkTS43JYtttXF6JXJjRjwmjWZ-iYnlrtBLVmpOv_Regys23JicV2ndfHYgAyMLP2ru_FhtCDREzCyY6n7cugM5aetJc2bJ2DTQAQddf_cChZNYY2_5icLZ_ShGT9M2EiGanpu8Eqa1C5cW1ybxy1ZR22XzIUtbH8sXZTl8hYFurOR7_5wZKlvGrVJ09gAm6A&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=Cf%2FhCosYoCNxEdH%2BO2QmXQ%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Power BI Consultant,LTIMindtree,Not avaliable,https://www.linkedin.com/jobs/view/3714565837/?eBP=CwEAAAGLih9tNl58Fuz6oCrMP5OPkT5wWYaNzp_B7eQwbG6F0H6fcBqKUMLmHhuj5yP7SbgUdp4GtfU2PXWlIqoE6Za9UWc1BNRwV8_thD2NcJZ1joDK-s5i9aeqbnBfjY9DFlmuSIsj9O76-qLwlRPBesNx86Vor6cdeYiKLEwQi89KgOdShZhYgOnBVkzwFIM-MXIKbtJMZxYSqFtTRA2ZNRdXKGzGvZJQM7etDmGcY_MLFvZOm948uEX1Zf_7gCauub_XCXX5Sj0B5LRIM5PopY31yUbpGTO-6IgRXlM4Z6Jr1h_7hyfPdgV1hEc8HdwjkLdHcEg_ptzD6i69gKUJuijxPFPH8gbI8uBjhqjcqQ1FEXBn-kO1obt_E3hQvgvDqjgJ8g&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=VqEeaHSiCpEd%2Bo%2FW4DnMyA%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Binance Accelerator Program - Junior Data Analyst,Binance,1 week ago,https://www.linkedin.com/jobs/view/3734693613/?eBP=CwEAAAGLih9tNory8FCKAeaCg3a8paJK5YNlnPGrsN4xLECpYDoYQFYltevrscPp5_oLQ-UpHlF421SXoGNyi5H-NoqbC2hQTW7B1fodFRTbH9xQMauJuJw4xOKX6BIKl6T4_AuyC6vrec-KWuPISA_9j3xdlJqSlbr22LE91QVO1xcQOoFbnSjowzejYv4MKTIwUer4bV6AhoZS4cJH60_aeFzFm05mMOrp4XV5h186vbRUNAzKYVAqGFS8QFfjEiS7vvynsFzrvduDG0Q-8Gs7lnwIoLKwmaU6k7H6F0TCzZSJgmPk2Hs1E66gFPjnt6wgP0uw3oLWBx6rG8n_01YlKKdnigWQhOJSEUGKlgDYZHb7skzDpRQgZeVVL7px7GmfC1O8Pa3_IXo&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=Bzztv%2B4l4v4qBAsedqfRJA%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Data Analyst (Group Internal Audit),PSA International Pte Ltd,6 days ago,https://www.linkedin.com/jobs/view/3728937828/?eBP=JOB_SEARCH_ORGANIC&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=ykjOc7R4PcjqzGdiGjLMLA%3D%3D&trk=flagship3_search_srp_jobs
Full-time,BI Analyst (SQL),Atome,2 weeks ago,https://www.linkedin.com/jobs/view/3735894912/?eBP=CwEAAAGLih9tNurDnDg1b-582Kvm_dbqErIIoOyv84OsaNHp-_mqiF1_iK-EafL0v4TLxLu-l1ftAFomnl8Jt5VmCQGd23ccoabN4Buhdm0aIbI-gdP_E3Pl7zk-UtszAEPrwZvfTmfJMlESZmiWQFCEAi95eYm7J3FrWn1UWvg95MZD98OgF4tkExY5CShvY97LMk844VIoQGICqM37awCnIfMS0f0e1X3n4Hf8ub6hlMPT3fYel2AHkmbMLLK3b6LzleTcW_YUrCyxnc_AL_6g-5NqVsEqO2P8AnKcIVksboIfmPX-ZBafbA04H-w83bNFkl5sHGMV_kdhdeCWFIZLORKRfIS6goU23VnFOjE58itiuGmOK-mW-sG20uTzGvdoeIcpZCTj9NU&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=UVNt%2F%2FE2Su%2Ba5yBYW9VY5w%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Transaction and Data Analyst,CBRE Asia Pacific,Not avaliable,https://www.linkedin.com/jobs/view/3732549053/?eBP=CwEAAAGLih9tNkdktnqimjoNhx8j0hNmimUO-U9VChPQntuM2rosNu7aO3ny9rvCedhM-fkQxvTmhqO1XgVe2vKKYNKf41FHhmAVyW_uvaEi3LC5bjAdCheAgNQ_PT3-rh1tKdEezmm0zGlZryVZGjffdNuZD3HKYJMFLNoTZGNGxASnw6oMpGdxKLrgH_rIZ5T6pG_KpaKVlxY4E9UpbANMmbRa_AJbp2QTop1bKmQVLG-bL95mHAPiP5dPbSlVN6vDFd_XZJ1X9suEwVkFCQdQ7_4pI_WjUSmNlr4WOJ_NZv6mZNaGBxGYwMuL5b_CEwoKYqXT_7eYUrFrb1ppCrcylyYE1FUg6pR5_c4QCjmYcCRTa6e3PtDyC5D0MHYG1ZjanTDjOJVK&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=oNq71CSG2ArgP68l8kXT2g%3D%3D&trk=flagship3_search_srp_jobs
